# Performance Monitoring Events for the Fifth Generation Intel Core Processors Based on the Broadwell Microarchitecture - V11
# 7/22/2015 2:19:56 PM
# Copyright (c) 2007 - 2014 Intel Corporation. All rights reserved.
MATRIX_REQUEST	MATRIX_RESPONSE	MATRIX_VALUE	MATRIX_REGISTER	DESCRIPTION
DEMAND_DATA_RD	Null	0x0001	0,1	Counts demand data reads
DEMAND_RFO	Null	0x0002	0,1	Counts all demand data writes (RFOs)
DEMAND_CODE_RD	Null	0x0004	0,1	Counts all demand code reads
COREWB	Null	0x0008	0,1	Counts writebacks (modified to exclusive)
PF_L2_DATA_RD	Null	0x0010	0,1	Counts prefetch (that bring data to L2) data reads
PF_L2_RFO	Null	0x0020	0,1	Counts all prefetch (that bring data to L2) RFOs
PF_L2_CODE_RD	Null	0x0040	0,1	Counts all prefetch (that bring data to LLC only) code reads
PF_L3_DATA_RD	Null	0x0080	0,1	Counts all prefetch (that bring data to LLC only) data reads
PF_L3_RFO	Null	0x0100	0,1	Counts all prefetch (that bring data to LLC only) RFOs
PF_L3_CODE_RD	Null	0x0200	0,1	Counts prefetch (that bring data to LLC only) code reads
OTHER	Null	0x8000	0,1	Counts any other requests
ALL_PF_DATA_RD	Null	0x0090	0,1	Counts all prefetch data reads
ALL_PF_RFO	Null	0x0120	0,1	Counts prefetch RFOs
ALL_PF_CODE_RD	Null	0x0240	0,1	Counts all prefetch code reads
ALL_DATA_RD	Null	0x0091	0,1	Counts all demand & prefetch data reads
ALL_RFO	Null	0x0122	0,1	Counts all demand & prefetch RFOs
Null	ANY_RESPONSE	0x000001	0,1	have any response type.
Null	SUPPLIER_NONE.SNOOP_NONE	0x008002	0,1	tbd
Null	SUPPLIER_NONE.SNOOP_NOT_NEEDED	0x010002	0,1	tbd
Null	SUPPLIER_NONE.SNOOP_MISS	0x020002	0,1	tbd
Null	SUPPLIER_NONE.SNOOP_HIT_NO_FWD	0x040002	0,1	tbd
Null	SUPPLIER_NONE.SNOOP_HITM	0x100002	0,1	tbd
Null	SUPPLIER_NONE.SNOOP_NON_DRAM	0x200002	0,1	tbd
Null	SUPPLIER_NONE.ANY_SNOOP	0x3f8002	0,1	tbd
Null	L3_HIT.SNOOP_NONE	0x00803c	0,1	hit in the L3 with no details on snoop-related information.
Null	L3_HIT.SNOOP_NOT_NEEDED	0x01003c	0,1	hit in the L3 and sibling core snoops are not needed as either the core-valid bit is not set or the shared line is present in multiple cores.
Null	L3_HIT.SNOOP_MISS	0x02003c	0,1	hit in the L3 with a snoop miss response.
Null	L3_HIT.SNOOP_HIT_NO_FWD	0x04003c	0,1	hit in the L3 and the snoops to sibling cores hit in either E/S state and the line is not forwarded.
Null	L3_HIT.SNOOP_HITM	0x10003c	0,1	tbd
Null	L3_HIT.SNOOP_NON_DRAM	0x20003c	0,1	hit in the L3 and the target was non-DRAM system address.
Null	L3_HIT.ANY_SNOOP	0x3f803c	0,1	hit in the L3.
Null	L3_MISS_LOCAL_DRAM.SNOOP_NONE	0x008400	0,1	tbd
Null	L3_MISS_LOCAL_DRAM.SNOOP_NOT_NEEDED	0x010400	0,1	tbd
Null	L3_MISS_LOCAL_DRAM.SNOOP_MISS	0x020400	0,1	tbd
Null	L3_MISS_LOCAL_DRAM.SNOOP_HIT_NO_FWD	0x040400	0,1	tbd
Null	L3_MISS_LOCAL_DRAM.SNOOP_HITM	0x100400	0,1	tbd
Null	L3_MISS_LOCAL_DRAM.SNOOP_NON_DRAM	0x200400	0,1	tbd
Null	L3_MISS_LOCAL_DRAM.ANY_SNOOP	0x3f8400	0,1	tbd
Null	L3_MISS.SNOOP_NONE	0x00bc00	0,1	miss the L3 with no details on snoop-related information.
Null	L3_MISS.SNOOP_NOT_NEEDED	0x013c00	0,1	tbd
Null	L3_MISS.SNOOP_MISS	0x023c00	0,1	miss the L3 with a snoop miss response.
Null	L3_MISS.SNOOP_HIT_NO_FWD	0x043c00	0,1	tbd
