# Performance Monitoring Events for the Fifth Generation Intel Core Processors Based on the Broadwell Microarchitecture - V11
# 7/22/2015 2:19:57 PM
# Copyright (c) 2007 - 2014 Intel Corporation. All rights reserved.
EventCode	UMask	EventName	BriefDescription	Counter	CounterHTOff	SampleAfterValue	MSRIndex	MSRValue	TakenAlone	CounterMask	Invert	AnyThread	EdgeDetect	PEBS	Data_LA	L1_Hit_Indication	Errata
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.ANY_RESPONSE	Counts demand data reads that have any response type.	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x0000010001 	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.SUPPLIER_NONE.SNOOP_NONE	tbd	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x0080020001 	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.SUPPLIER_NONE.SNOOP_NOT_NEEDED	tbd	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x0100020001 	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.SUPPLIER_NONE.SNOOP_MISS	tbd	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x0200020001 	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.SUPPLIER_NONE.SNOOP_HIT_NO_FWD	tbd	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x0400020001 	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.SUPPLIER_NONE.SNOOP_HITM	tbd	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x1000020001 	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.SUPPLIER_NONE.SNOOP_NON_DRAM	tbd	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x2000020001 	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.SUPPLIER_NONE.ANY_SNOOP	tbd	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3f80020001 	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_HIT.SNOOP_NONE	Counts demand data reads that hit in the L3 with no details on snoop-related information.	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x00803c0001 	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_HIT.SNOOP_NOT_NEEDED	Counts demand data reads that hit in the L3 and sibling core snoops are not needed as either the core-valid bit is not set or the shared line is present in multiple cores.	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x01003c0001 	0	0	0	0	0	0	0	0	null
