# Performance Monitoring Events for Intel Atom Processors Based on the Bonnel Microarchitecture - V4
# 8/16/2016 11:57:05 AM
# Copyright (c) 2007 - 2016 Intel Corporation. All rights reserved.
EventCode	UMask	EventName	BriefDescription	Counter	SampleAfterValue	MSRIndex	MSRValue	CounterMask	Invert	AnyThread	EdgeDetect	PEBS	Errata
0x2	0x83	STORE_FORWARDS.ANY	All store forwards	0,1	200000	0	0	0	0	0	0	0	null
0x2	0x81	STORE_FORWARDS.GOOD	Good store forwards	0,1	200000	0	0	0	0	0	0	0	null
0x3	0x7F	REISSUE.ANY	Micro-op reissues for any cause	0,1	200000	0	0	0	0	0	0	0	null
0x3	0xFF	REISSUE.ANY.AR	Micro-op reissues for any cause (At Retirement)	0,1	200000	0	0	0	0	0	0	0	null
0x5	0xF	MISALIGN_MEM_REF.SPLIT	Memory references that cross an 8-byte boundary.	0,1	200000	0	0	0	0	0	0	0	null
0x5	0x9	MISALIGN_MEM_REF.LD_SPLIT	Load splits	0,1	200000	0	0	0	0	0	0	0	null
0x5	0xA	MISALIGN_MEM_REF.ST_SPLIT	Store splits	0,1	200000	0	0	0	0	0	0	0	null
0x5	0x8F	MISALIGN_MEM_REF.SPLIT.AR	Memory references that cross an 8-byte boundary (At Retirement)	0,1	200000	0	0	0	0	0	0	0	null
0x5	0x89	MISALIGN_MEM_REF.LD_SPLIT.AR	Load splits (At Retirement)	0,1	200000	0	0	0	0	0	0	0	null
0x5	0x8A	MISALIGN_MEM_REF.ST_SPLIT.AR	Store splits (Ar Retirement)	0,1	200000	0	0	0	0	0	0	0	null
0x5	0x8C	MISALIGN_MEM_REF.RMW_SPLIT	ld-op-st splits	0,1	200000	0	0	0	0	0	0	0	null
0x5	0x97	MISALIGN_MEM_REF.BUBBLE	Nonzero segbase 1 bubble	0,1	200000	0	0	0	0	0	0	0	null
0x5	0x91	MISALIGN_MEM_REF.LD_BUBBLE	Nonzero segbase load 1 bubble	0,1	200000	0	0	0	0	0	0	0	null
0x5	0x92	MISALIGN_MEM_REF.ST_BUBBLE	Nonzero segbase store 1 bubble	0,1	200000	0	0	0	0	0	0	0	null
0x5	0x94	MISALIGN_MEM_REF.RMW_BUBBLE	Nonzero segbase ld-op-st 1 bubble	0,1	200000	0	0	0	0	0	0	0	null
0x6	0x80	SEGMENT_REG_LOADS.ANY	Number of segment register loads.	0,1	200000	0	0	0	0	0	0	0	null
0x7	0x81	PREFETCH.PREFETCHT0	Streaming SIMD Extensions (SSE) PrefetchT0 instructions executed.	0,1	200000	0	0	0	0	0	0	0	null
0x7	0x82	PREFETCH.PREFETCHT1	Streaming SIMD Extensions (SSE) PrefetchT1 instructions executed.	0,1	200000	0	0	0	0	0	0	0	null
0x7	0x84	PREFETCH.PREFETCHT2	Streaming SIMD Extensions (SSE) PrefetchT2 instructions executed.	0,1	200000	0	0	0	0	0	0	0	null
0x7	0x86	PREFETCH.SW_L2	Streaming SIMD Extensions (SSE) PrefetchT1 and PrefetchT2 instructions executed	0,1	200000	0	0	0	0	0	0	0	null
0x7	0x88	PREFETCH.PREFETCHNTA	Streaming SIMD Extensions (SSE) Prefetch NTA instructions executed	0,1	200000	0	0	0	0	0	0	0	null
0x7	0x10	PREFETCH.HW_PREFETCH	L1 hardware prefetch request	0,1	2000000	0	0	0	0	0	0	0	null
0x7	0xF	PREFETCH.SOFTWARE_PREFETCH	Any Software prefetch	0,1	200000	0	0	0	0	0	0	0	null
0x7	0x8F	PREFETCH.SOFTWARE_PREFETCH.AR	Any Software prefetch	0,1	200000	0	0	0	0	0	0	0	null
0x8	0x7	DATA_TLB_MISSES.DTLB_MISS	Memory accesses that missed the DTLB.	0,1	200000	0	0	0	0	0	0	0	null
0x8	0x5	DATA_TLB_MISSES.DTLB_MISS_LD	DTLB misses due to load operations.	0,1	200000	0	0	0	0	0	0	0	null
0x8	0x9	DATA_TLB_MISSES.L0_DTLB_MISS_LD	L0 DTLB misses due to load operations.	0,1	200000	0	0	0	0	0	0	0	null
0x8	0x6	DATA_TLB_MISSES.DTLB_MISS_ST	DTLB misses due to store operations.	0,1	200000	0	0	0	0	0	0	0	null
