# Performance Monitoring Events for Intel Atom Processors Based on the Goldmont Microarchitecture - V8
# 8/16/2016 1:31:03 PM
# Copyright (c) 2007 - 2016 Intel Corporation. All rights reserved.
EventCode	UMask	EventName	BriefDescription	Counter	PEBScounters	SampleAfterValue	MSRIndex	MSRValue	CollectPEBSRecord	CounterMask	Invert	AnyThread	EdgeDetect	PEBS	Data_LA	Errata
0xC4	0x00	BR_INST_RETIRED.ALL_BRANCHES	Retired branch instructions (Precise event capable)	0,1,2,3	0	200003	0	0	2	0	0	0	0	2	0	null
0xC4	0x7E	BR_INST_RETIRED.JCC	Retired conditional branch instructions (Precise event capable)	0,1,2,3	0	200003	0	0	2	0	0	0	0	2	0	null
0xC4	0xFE	BR_INST_RETIRED.TAKEN_JCC	Retired conditional branch instructions that were taken (Precise event capable)	0,1,2,3	0	200003	0	0	2	0	0	0	0	2	0	null
0xC4	0xF9	BR_INST_RETIRED.CALL	Retired near call instructions (Precise event capable)	0,1,2,3	0	200003	0	0	2	0	0	0	0	2	0	null
0xC4	0xFD	BR_INST_RETIRED.REL_CALL	Retired near relative call instructions (Precise event capable)	0,1,2,3	0	200003	0	0	2	0	0	0	0	2	0	null
0xC4	0xFB	BR_INST_RETIRED.IND_CALL	Retired near indirect call instructions (Precise event capable)	0,1,2,3	0	200003	0	0	2	0	0	0	0	2	0	null
0xC4	0xF7	BR_INST_RETIRED.RETURN	Retired near return instructions (Precise event capable)	0,1,2,3	0	200003	0	0	2	0	0	0	0	2	0	null
0xC4	0xEB	BR_INST_RETIRED.NON_RETURN_IND	Retired instructions of near indirect Jmp or call (Precise event capable)	0,1,2,3	0	200003	0	0	2	0	0	0	0	2	0	null
0xC4	0xBF	BR_INST_RETIRED.FAR_BRANCH	Retired far branch instructions (Precise event capable)	0,1,2,3	0	200003	0	0	2	0	0	0	0	2	0	null
0xC5	0x00	BR_MISP_RETIRED.ALL_BRANCHES	Retired mispredicted branch instructions (Precise event capable)	0,1,2,3	0	200003	0	0	2	0	0	0	0	2	0	null
0xC5	0x7E	BR_MISP_RETIRED.JCC	Retired mispredicted conditional branch instructions (Precise event capable)	0,1,2,3	0	200003	0	0	2	0	0	0	0	2	0	null
0xC5	0xFE	BR_MISP_RETIRED.TAKEN_JCC	Retired mispredicted conditional branch instructions that were taken (Precise event capable)	0,1,2,3	0	200003	0	0	2	0	0	0	0	2	0	null
0xC5	0xFB	BR_MISP_RETIRED.IND_CALL	Retired mispredicted near indirect call instructions (Precise event capable)	0,1,2,3	0	200003	0	0	2	0	0	0	0	2	0	null
0xC5	0xF7	BR_MISP_RETIRED.RETURN	Retired mispredicted near return instructions (Precise event capable)	0,1,2,3	0	200003	0	0	2	0	0	0	0	2	0	null
0xC5	0xEB	BR_MISP_RETIRED.NON_RETURN_IND	Retired mispredicted instructions of near indirect Jmp or near indirect call. (Precise event capable)	0,1,2,3	0	200003	0	0	2	0	0	0	0	2	0	null
0xC2	0x00	UOPS_RETIRED.ANY	Uops retired (Precise event capable)	0,1,2,3	0	2000003	0	0	2	0	0	0	0	2	0	null
0xC2	0x01	UOPS_RETIRED.MS	MS uops retired (Precise event capable)	0,1,2,3	0	2000003	0	0	2	0	0	0	0	2	0	null
0xC3	0x01	MACHINE_CLEARS.SMC	Self-Modifying Code detected	0,1,2,3	0	200003	0	0	1	0	0	0	0	0	0	null
0xC3	0x02	MACHINE_CLEARS.MEMORY_ORDERING	Machine clears due to memory ordering issue	0,1,2,3	0	200003	0	0	1	0	0	0	0	0	0	null
0xC3	0x04	MACHINE_CLEARS.FP_ASSIST	Machine clears due to FP assists	0,1,2,3	0	200003	0	0	1	0	0	0	0	0	0	null
0xC3	0x08	MACHINE_CLEARS.DISAMBIGUATION	Machine clears due to memory disambiguation	0,1,2,3	0	200003	0	0	1	0	0	0	0	0	0	null
0xC3	0x00	MACHINE_CLEARS.ALL	All machine clears	0,1,2,3	0	200003	0	0	1	0	0	0	0	0	0	null
0xCA	0x01	ISSUE_SLOTS_NOT_CONSUMED.RESOURCE_FULL	Unfilled issue slots per cycle because of a full resource in the backend	0,1,2,3	0	200003	0	0	1	0	0	0	0	0	0	null
0xCA	0x02	ISSUE_SLOTS_NOT_CONSUMED.RECOVERY	Unfilled issue slots per cycle to recover	0,1,2,3	0	200003	0	0	1	0	0	0	0	0	0	null
0xCA	0x00	ISSUE_SLOTS_NOT_CONSUMED.ANY	Unfilled issue slots per cycle	0,1,2,3	0	200003	0	0	1	0	0	0	0	0	0	null
0xCB	0x01	HW_INTERRUPTS.RECEIVED	Hardware interrupts received (Precise event capable)	0,1,2,3	0	200003	0	0	2	0	0	0	0	0	0	null
0xCB	0x04	HW_INTERRUPTS.PENDING_AND_MASKED	Cycles pending interrupts are masked (Precise event capable)	0,1,2,3	0	200003	0	0	2	0	0	0	0	0	0	null
0xC0	0x00	INST_RETIRED.ANY_P	Instructions retired (Precise event capable)	0,1,2,3	0	2000003	0	0	1	0	0	0	0	2	0	null
0x9C	0x00	UOPS_NOT_DELIVERED.ANY	Uops requested but not-delivered to the back-end per cycle	0,1,2,3	0	200003	0	0	1	0	0	0	0	0	0	null
0x0E	0x00	UOPS_ISSUED.ANY	Uops issued to the back end per cycle	0,1,2,3	0	200003	0	0	1	0	0	0	0	0	0	null
0xCD	0x00	CYCLES_DIV_BUSY.ALL	Cycles a divider is busy	0,1,2,3	0	2000003	0	0	1	0	0	0	0	0	0	null
0xCD	0x01	CYCLES_DIV_BUSY.IDIV	Cycles the integer divide unit is busy	0,1,2,3	0	200003	0	0	1	0	0	0	0	0	0	null
0xCD	0x02	CYCLES_DIV_BUSY.FPDIV	Cycles the FP divide unit is busy	0,1,2,3	0	200003	0	0	1	0	0	0	0	0	0	null
0x00	0x01	INST_RETIRED.ANY	Instructions retired (Fixed event)	Fixed counter 1	0	2000003	0	0	0	0	0	0	0	0	0	null
0x00	0x02	CPU_CLK_UNHALTED.CORE	Core cycles when core is not halted  (Fixed event)	Fixed counter 2	0	2000003	0	0	0	0	0	0	0	0	0	null
0x00	0x03	CPU_CLK_UNHALTED.REF_TSC	Reference cycles when core is not halted  (Fixed event)	Fixed counter 3	0	2000003	0	0	0	0	0	0	0	0	0	null
0x3C	0x00	CPU_CLK_UNHALTED.CORE_P	Core cycles when core is not halted	0,1,2,3	0	2000003	0	0	1	0	0	0	0	0	0	null
0x3C	0x01	CPU_CLK_UNHALTED.REF	Reference cycles when core is not halted	0,1,2,3	0	2000003	0	0	1	0	0	0	0	0	0	null
0x30	0x00	L2_REJECT_XQ.ALL	Requests rejected by the XQ	0,1,2,3	0	200003	0	0	1	0	0	0	0	0	0	null
0x31	0x00	CORE_REJECT_L2Q.ALL	Requests rejected by the L2Q 	0,1,2,3	0	200003	0	0	1	0	0	0	0	0	0	null
0x2E	0x4F	LONGEST_LAT_CACHE.REFERENCE	L2 cache requests	0,1,2,3	0	200003	0	0	1	0	0	0	0	0	0	null
0x2E	0x41	LONGEST_LAT_CACHE.MISS	L2 cache request misses	0,1,2,3	0	200003	0	0	1	0	0	0	0	0	0	null
0x80	0x01	ICACHE.HIT	References per ICache line that are available in the ICache (hit). This event counts differently than Intel processors based on Silvermont microarchitecture	0,1,2,3	0	200003	0	0	1	0	0	0	0	0	0	null
0x80	0x02	ICACHE.MISSES	References per ICache line that are not available in the ICache (miss). This event counts differently than Intel processors based on Silvermont microarchitecture	0,1,2,3	0	200003	0	0	1	0	0	0	0	0	0	null
