# Performance Monitoring Events for Intel(R) Xeon(R) processor E5 v3 family based on the Haswell-E microarchitecture - V14
# 8/3/2015 11:49:53 AM
# Copyright (c) 2007 - 2014 Intel Corporation. All rights reserved.
BitName	BitIndex	Type	MATRIX_REG	BitsNotCombinedWith
DEMAND_DATA_RD	0	1	0,1	Null
DEMAND_RFO	1	1	0,1	Null
DEMAND_CODE_RD	2	1	0,1	Null
COREWB	3	1	0,1	Null
PF_L2_DATA_RD	4	1	0,1	Null
PF_L2_RFO	5	1	0,1	Null
PF_L2_CODE_RD	6	1	0,1	Null
PF_L3_DATA_RD	7	1	0,1	Null
PF_L3_RFO	8	1	0,1	Null
PF_L3_CODE_RD	9	1	0,1	Null
SPLIT_LOCK_UC_LOCK	10	1	0,1	Null
STREAMING_STORES	11	1	0,1	Null
OTHER	15	1	0,1	Null
ALL_PF_DATA_RD	4,7	1	0,1	Null
ALL_PF_RFO	5,8	1	0,1	Null
ALL_PF_CODE_RD	6,9	1	0,1	Null
ALL_DATA_RD	0,4,7	1	0,1	Null
ALL_RFO	1,5,8	1	0,1	Null
ALL_CODE_RD	2,6,9	1	0,1	Null
ALL_READS	0,1,2,4,5,6,7,8,9	1	0,1	Null
ALL_REQUESTS	0,1,2,3,4,5,6,7,8,9,10,11,15	1	0,1	Null
ANY_RESPONSE	16	2	0,1	Null
SUPPLIER_NONE	17	3	0,1	Null
L3_HIT_M	18	3	0,1	Null
L3_HIT_E	19	3	0,1	Null
L3_HIT_S	20	3	0,1	Null
L3_HIT_F	21	3	0,1	Null
L3_HIT	18,19,20,21	3	0,1	Null
L3_MISS_LOCAL_DRAM	22	3	0,1	Null
L3_MISS_REMOTE_HOP0	27	3	0,1	Null
L3_MISS_REMOTE_HOP1	28	3	0,1	Null
L3_MISS_REMOTE_HOP2P	29	3	0,1	Null
L3_MISS	22,27,28,29	3	0,1	Null
SPL_HIT	30	4	0,1	Null
SNOOP_NONE	31	4	0,1	Null
SNOOP_NOT_NEEDED	32	4	0,1	Null
SNOOP_MISS	33	4	0,1	Null
SNOOP_HIT_NO_FWD	34	4	0,1	Null
SNOOP_HIT_WITH_FWD	35	4	0,1	18,19,20,21
SNOOP_HITM	36	4	0,1	Null
SNOOP_NON_DRAM	37	4	0,1	Null
ANY_SNOOP	31,32,33,34,35,36,37	4	0,1	Null
