# Performance Monitoring Events for Intel(R) Xeon(R) processor E5 v3 family based on the Haswell-E microarchitecture - V14
# 8/3/2015 11:49:53 AM
# Copyright (c) 2007 - 2014 Intel Corporation. All rights reserved.
EventCode	UMask	EventName	BriefDescription	Counter	CounterHTOff	SampleAfterValue	MSRIndex	MSRValue	TakenAlone	CounterMask	Invert	AnyThread	EdgeDetect	PEBS	Data_LA	L1_Hit_Indication	Errata	ELLC
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.LLC_HIT.HIT_OTHER_CORE_NO_FWD	Counts demand data reads that hit in the L3 and the snoops to sibling cores hit in either E/S state and the line is not forwarded	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x04003c0001	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.LLC_HIT.HITM_OTHER_CORE	Counts demand data reads that hit in the L3 and the snoop to one of the sibling cores hits the line in M state and the line is forwarded	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x10003c0001	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.LLC_MISS.ANY_RESPONSE	Counts demand data reads that miss in the L3	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3fffc00001	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.LLC_MISS.LOCAL_DRAM	Counts demand data reads that miss the L3 and the data is returned from local dram	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x0600400001	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_RFO.LLC_HIT.HIT_OTHER_CORE_NO_FWD	Counts all demand data writes (RFOs) that hit in the L3 and the snoops to sibling cores hit in either E/S state and the line is not forwarded	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x04003c0002	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_RFO.LLC_HIT.HITM_OTHER_CORE	Counts all demand data writes (RFOs) that hit in the L3 and the snoop to one of the sibling cores hits the line in M state and the line is forwarded	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x10003c0002	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_RFO.LLC_MISS.ANY_RESPONSE	Counts all demand data writes (RFOs) that miss in the L3	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3fffc00002	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_RFO.LLC_MISS.LOCAL_DRAM	Counts all demand data writes (RFOs) that miss the L3 and the data is returned from local dram	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x0600400002	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_CODE_RD.LLC_HIT.HIT_OTHER_CORE_NO_FWD	Counts all demand code reads that hit in the L3 and the snoops to sibling cores hit in either E/S state and the line is not forwarded	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x04003c0004	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_CODE_RD.LLC_HIT.HITM_OTHER_CORE	Counts all demand code reads that hit in the L3 and the snoop to one of the sibling cores hits the line in M state and the line is forwarded	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x10003c0004	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_CODE_RD.LLC_MISS.ANY_RESPONSE	Counts all demand code reads that miss in the L3	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3fffc00004	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_CODE_RD.LLC_MISS.LOCAL_DRAM	Counts all demand code reads that miss the L3 and the data is returned from local dram	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x0600400004	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.PF_L2_DATA_RD.LLC_HIT.ANY_RESPONSE	Counts prefetch (that bring data to L2) data reads that hit in the L3	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3f803c0010	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.PF_L2_DATA_RD.LLC_MISS.ANY_RESPONSE	Counts prefetch (that bring data to L2) data reads that miss in the L3	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3fffc00010	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.PF_L2_RFO.LLC_HIT.ANY_RESPONSE	Counts all prefetch (that bring data to L2) RFOs that hit in the L3	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3f803c0020	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.PF_L2_RFO.LLC_MISS.ANY_RESPONSE	Counts all prefetch (that bring data to L2) RFOs that miss in the L3	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3fffc00020	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.PF_L2_CODE_RD.LLC_HIT.ANY_RESPONSE	Counts all prefetch (that bring data to LLC only) code reads that hit in the L3	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3f803c0040	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.PF_L2_CODE_RD.LLC_MISS.ANY_RESPONSE	Counts all prefetch (that bring data to LLC only) code reads that miss in the L3	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3fffc00040	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.PF_LLC_DATA_RD.LLC_HIT.ANY_RESPONSE	Counts all prefetch (that bring data to LLC only) data reads that hit in the L3	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3f803c0080	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.PF_LLC_DATA_RD.LLC_MISS.ANY_RESPONSE	Counts all prefetch (that bring data to LLC only) data reads that miss in the L3	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3fffc00080	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.PF_LLC_RFO.LLC_HIT.ANY_RESPONSE	Counts all prefetch (that bring data to LLC only) RFOs that hit in the L3	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3f803c0100	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.PF_LLC_RFO.LLC_MISS.ANY_RESPONSE	Counts all prefetch (that bring data to LLC only) RFOs that miss in the L3	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3fffc00100	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.PF_LLC_CODE_RD.LLC_HIT.ANY_RESPONSE	Counts prefetch (that bring data to LLC only) code reads that hit in the L3	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3f803c0200	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.PF_LLC_CODE_RD.LLC_MISS.ANY_RESPONSE	Counts prefetch (that bring data to LLC only) code reads that miss in the L3	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3fffc00200	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.ALL_DATA_RD.LLC_HIT.HIT_OTHER_CORE_NO_FWD	Counts all demand & prefetch data reads that hit in the L3 and the snoops to sibling cores hit in either E/S state and the line is not forwarded	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x04003c0091	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.ALL_DATA_RD.LLC_HIT.HITM_OTHER_CORE	Counts all demand & prefetch data reads that hit in the L3 and the snoop to one of the sibling cores hits the line in M state and the line is forwarded	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x10003c0091	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.ALL_DATA_RD.LLC_MISS.ANY_RESPONSE	Counts all demand & prefetch data reads that miss in the L3	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3fffc00091	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.ALL_DATA_RD.LLC_MISS.LOCAL_DRAM	Counts all demand & prefetch data reads that miss the L3 and the data is returned from local dram	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x0600400091	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.ALL_DATA_RD.LLC_MISS.REMOTE_DRAM	Counts all demand & prefetch data reads that miss the L3 and the data is returned from remote dram	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x067f800091	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.ALL_DATA_RD.LLC_MISS.REMOTE_HITM	Counts all demand & prefetch data reads that miss the L3 and the modified data is transferred from remote cache	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x107fc00091	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.ALL_DATA_RD.LLC_MISS.REMOTE_HIT_FORWARD	Counts all demand & prefetch data reads that miss the L3 and clean or shared data is transferred from remote cache	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x087fc00091	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.ALL_RFO.LLC_HIT.HIT_OTHER_CORE_NO_FWD	Counts all demand & prefetch RFOs that hit in the L3 and the snoops to sibling cores hit in either E/S state and the line is not forwarded	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x04003c0122	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.ALL_RFO.LLC_HIT.HITM_OTHER_CORE	Counts all demand & prefetch RFOs that hit in the L3 and the snoop to one of the sibling cores hits the line in M state and the line is forwarded	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x10003c0122	0	0	0	0	0	0	0	0	null	0
