# Performance Monitoring Events for Intel(R) Xeon(R) processor E5 family and Intel(R) Xeon(R) processor E7 family Based on the Ivy Bridge-EP Microarchitecture - V17
# 7/29/2015 2:56:15 PM
# Copyright (c) 2007 - 2014 Intel Corporation. All rights reserved.
MATRIX_REQUEST	MATRIX_RESPONSE	MATRIX_VALUE	MATRIX_REGISTER	DESCRIPTION
DEMAND_DATA_RD	NULL	0x0001	0,1	Counts demand data reads
DEMAND_RFO	NULL	0x0002	0,1	Counts all demand data writes (RFOs)
DEMAND_CODE_RD	NULL	0x0004	0,1	Counts all demand code reads
COREWB	NULL	0x0008	0,1	Counts core writebacks due to L2 evictions or L1 writeback requests
PF_L2_DATA_RD	NULL	0x0010	0,1	Counts prefetch (that bring data to L2) data reads
PF_L2_RFO	NULL	0x0020	0,1	Counts all prefetch (that bring data to L2) RFOs
PF_L2_CODE_RD	NULL	0x0040	0,1	Counts all prefetch (that bring data to LLC only) code reads
PF_LLC_DATA_RD	NULL	0x0080	0,1	Counts all prefetch (that bring data to LLC only) data reads
PF_LLC_RFO	NULL	0x0100	0,1	Counts all prefetch (that bring data to LLC only) RFOs
PF_LLC_CODE_RD	NULL	0x0200	0,1	Counts prefetch (that bring data to LLC only) code reads
OTHER	NULL	0x8000	0,1	Counts any other requests
ALL_PF_DATA_RD	NULL	0x0090	0,1	Counts all prefetch data reads
ALL_PF_RFO	NULL	0x0120	0,1	Counts prefetch RFOs
ALL_PF_CODE_RD	NULL	0x0240	0,1	Counts all prefetch code reads
ALL_DATA_RD	NULL	0x0091	0,1	Counts all demand & prefetch data reads
ALL_RFO	NULL	0x0122	0,1	Counts all demand & prefetch RFOs
ALL_CODE_RD	NULL	0x0244	0,1	Counts all demand & prefetch code reads
ALL_READS	NULL	0x03f7	0,1	Counts all data/code/rfo reads (demand & prefetch)
ALL_REQUESTS	NULL	0x8fff	0,1	Counts all requests
NULL	LLC_HIT.ANY_RESPONSE	0x3f803c	0,1	hit in the LLC
NULL	LLC_HIT.NO_SNOOP_NEEDED	0x01003c	0,1	hit in the LLC and sibling core snoops are not needed as either the core-valid bit is not set or the shared line is present in multiple cores
NULL	LLC_HIT.SNOOP_MISS	0x02003c	0,1	hit in the LLC and the snoops sent to sibling cores return clean response
NULL	LLC_HIT.HIT_OTHER_CORE_NO_FWD	0x04003c	0,1	hit in the LLC and the snoops to sibling cores hit in either E/S state and the line is not forwarded
NULL	LLC_HIT.HITM_OTHER_CORE	0x10003c	0,1	hit in the LLC and the snoop to one of the sibling cores hits the line in M state and the line is forwarded
NULL	LLC_MISS.ANY_RESPONSE	0x3fffc0	0,1	miss in the LLC
NULL	LLC_MISS.LOCAL_DRAM	0x060040	0,1	miss the LLC and the data returned from local dram
NULL	LLC_MISS.ANY_DRAM	0x067fc0	0,1	miss the LLC and the data returned from local or remote dram
