# Performance Monitoring Events for Intel(R) Xeon Phi Processor Family based on the Intel(R) Many Integrated Core Architecture - V8
# 8/16/2016 1:32:30 PM
# Copyright (c) 2007 - 2016 Intel Corporation. All rights reserved.
BitName	BitIndex	Type	MATRIX_REG	BitsNotCombinedWith
DEMAND_DATA_RD	0	1	0,1	Null
DEMAND_RFO	1	1	0,1	Null
DEMAND_CODE_RD	2	1	0,1	Null
PF_L2_RFO	5	1	0,1	Null
PF_L2_CODE_RD	6	1	0,1	Null
PARTIAL_READS	7	1	0,1	Null
PARTIAL_WRITES	8	1	1	Null
UC_CODE_READS	9	1	0,1	Null
BUS_LOCKS	10	1	0,1	Null
FULL_STREAMING_STORES	11	1	0,1	Null
PF_SOFTWARE	12	1	0,1	Null
PF_L1_DATA_RD	13	1	0,1	Null
PARTIAL_STREAMING_STORES	14	1	1	Null
STREAMING_STORES	11,14	1	1	Null
ANY_REQUEST	15	1	0,1	Null
ANY_DATA_RD	0,7,12,13	1	0,1	Null
ANY_RFO	1,5	1	0,1	Null
ANY_CODE_RD	2,6	1	0,1	Null
ANY_READ	0,1,2,5,6,7,9,12,13	1	0,1	Null
ANY_PF_L2	5,6	1	0,1	Null
ANY_RESPONSE	16	2	0,1	Null
L2_HIT_OTHER_TILE_NEAR_E_F	19	3	0,1	Null
L2_HIT_OTHER_TILE_MCDRAM_LOCAL	21	3	0,1	Null
L2_HIT_OTHER_TILE_MCDRAM_FAR	22	3	0,1	Null
DDR4_LOCAL_CLUSTER	23	3	0,1	Null
DDR4_FAR_CLUSTER	24	3	0,1	Null
L2_HIT_THIS_TILE_M	25	2	0,1	Null
L2_HIT_THIS_TILE_E	26	2	0,1	Null
L2_HIT_THIS_TILE_S	27	2	0,1	Null
L2_HIT_THIS_TILE_F	28	2	0,1	Null
L2_MISS_SNOOP_NONE	31	4	0,1	Null
L2_MISS_SNOOP_NOT_NEEDED	32	4	0,1	Null
L2_MISS_SNOOP_HIT_WITH_FWD	35	4	0,1	Null
L2_MISS_SNOOP_HITM	36	4	0,1	Null
L2_MISS_SNOOP_NON_DRAM	37	4	0,1	Null
DDR_NEAR	23,31	2	0,1	Null
DDR_FAR	24,32	2	0,1	Null
MCDRAM_NEAR	21,31	2	0,1	Null
MCDRAM_FAR	22,32	2	0,1	Null
L2_HIT_NEAR_TILE_E	19,35	2	0,1	Null
L2_HIT_NEAR_TILE_F	20,35	2	0,1	Null
L2_HIT_NEAR_TILE_M	19,36	2	0,1	Null
L2_HIT_FAR_TILE_E_F	22,35	2	0,1	Null
L2_HIT_FAR_TILE_M	22,36	2	0,1	Null
NON_DRAM	17,37	2	0,1	Null
NON_CACHEABLE_TO_LOCAL	21,37	2	0,1	Null
OUTSTANDING	38	2	0	Null
L2_HIT_NEAR_TILE	19,20,35,36	2	0,1	Null
L2_HIT_FAR_TILE	22,35,36	2	0,1	Null
