# Performance Monitoring Events for Intel(R) Xeon Phi Processor Family based on the Intel(R) Many Integrated Core Architecture - V8
# 8/16/2016 1:32:30 PM
# Copyright (c) 2007 - 2016 Intel Corporation. All rights reserved.
Unit	EventCode	UMask	EventName	BriefDescription	Counter	Filter	Internal
EDC_UCLK	0x00	0x00	UNC_E_U_CLOCKTICKS	UCLK count	0,1,2,3	null	0
EDC_UCLK	0x02	0x01	UNC_E_EDC_ACCESS.HIT_CLEAN	Counts the number of read requests and streaming stores that hit in MCDRAM cache and the data in MCDRAM is clean with respect to DDR. This event is only valid in cache and hybrid memory mode.	0,1,2,3	null	0
EDC_UCLK	0x02	0x02	UNC_E_EDC_ACCESS.HIT_DIRTY	Counts the number of read requests and streaming stores that hit in MCDRAM cache and the data in MCDRAM is dirty with respect to DDR. This event is only valid in cache and hybrid memory mode. 	0,1,2,3	null	0
EDC_UCLK	0x02	0x04	UNC_E_EDC_ACCESS.MISS_CLEAN	Counts the number of read requests and streaming stores that miss in MCDRAM cache and the data evicted from the MCDRAM is clean with respect to DDR. This event is only valid in cache and hybrid memory mode.	0,1,2,3	null	0
EDC_UCLK	0x02	0x08	UNC_E_EDC_ACCESS.MISS_DIRTY	Counts the number of read requests and streaming stores that miss in MCDRAM cache and the data evicted from the MCDRAM is dirty with respect to DDR. This event is only valid in cache and hybrid memory mode.	0,1,2,3	null	0
EDC_UCLK	0x02	0x10	UNC_E_EDC_ACCESS.MISS_INVALID	Number of EDC Hits or Misses. Miss I	0,1,2,3	null	0
EDC_ECLK	0x00	0x00	UNC_E_E_CLOCKTICKS	ECLK count	0,1,2,3	null	0
EDC_ECLK	0x01	0x01	UNC_E_RPQ_INSERTS	Counts the number of read requests received by the MCDRAM controller. This event is valid in all three memory modes: flat, cache and hybrid. In cache and hybrid memory mode, this event counts all read requests as well as streaming stores that hit or miss in the MCDRAM cache. 	0,1,2,3	null	0
EDC_ECLK	0x02	0x01	UNC_E_WPQ_INSERTS	Counts the number of write requests received by the MCDRAM controller. This event is valid in all three memory modes: flat, cache and hybrid. In cache and hybrid memory mode, this event counts all streaming stores, writebacks and, read requests that miss in MCDRAM cache.	0,1,2,3	null	0
iMC_UCLK	0x00	0x00	UNC_M_U_CLOCKTICKS	UCLK count	0,1,2,3	null	0
iMC_DCLK	0x00	0x00	UNC_M_D_CLOCKTICKS	DCLK count	0,1,2,3	null	0
iMC_DCLK	0x03	0x01	UNC_M_CAS_COUNT.RD	CAS Reads	0,1,2,3	null	0
iMC_DCLK	0x03	0x02	UNC_M_CAS_COUNT.WR	CAS Writes	0,1,2,3	null	0
iMC_DCLK	0x03	0x03	UNC_M_CAS_COUNT.ALL	CAS All	0,1,2,3	null	0
