# Performance Monitoring Events for Intel Core i7 and i5 Processors Based on the Nehalem-EP Microarchitecture - V2
# 8/16/2016 3:12:15 PM
# Copyright (c) 2007 - 2016 Intel Corporation. All rights reserved.
EventCode	UMask	EventName	BriefDescription	Counter	SampleAfterValue	MSRIndex	MSRValue	CounterMask	Invert	AnyThread	EdgeDetect	PEBS
0xB7	0x1	OFFCORE_RESPONSE_0.ANY_DATA.ANY_CACHE_DRAM	Offcore data reads satisfied by any cache or DRAM	2	100000	0x1A6	0x7F11	0	0	0	0	0
0xB7	0x1	OFFCORE_RESPONSE_0.ANY_DATA.ANY_DRAM	Offcore data reads satisfied by any DRAM	2	100000	0x1A6	0x6011	0	0	0	0	0
0xB7	0x1	OFFCORE_RESPONSE_0.ANY_DATA.ANY_LLC_MISS	Offcore data reads that missed the LLC	2	100000	0x1A6	0xF811	0	0	0	0	0
0xB7	0x1	OFFCORE_RESPONSE_0.ANY_DATA.ANY_LOCATION	All offcore data reads	2	100000	0x1A6	0xFF11	0	0	0	0	0
0xB7	0x1	OFFCORE_RESPONSE_0.ANY_DATA.IO_CSR_MMIO	Offcore data reads satisfied by the IO, CSR, MMIO unit	2	100000	0x1A6	0x8011	0	0	0	0	0
0xB7	0x1	OFFCORE_RESPONSE_0.ANY_DATA.LLC_HIT_NO_OTHER_CORE	Offcore data reads satisfied by the LLC and not found in a sibling core	2	100000	0x1A6	0x111	0	0	0	0	0
0xB7	0x1	OFFCORE_RESPONSE_0.ANY_DATA.LLC_HIT_OTHER_CORE_HIT	Offcore data reads satisfied by the LLC and HIT in a sibling core	2	100000	0x1A6	0x211	0	0	0	0	0
0xB7	0x1	OFFCORE_RESPONSE_0.ANY_DATA.LLC_HIT_OTHER_CORE_HITM	Offcore data reads satisfied by the LLC  and HITM in a sibling core	2	100000	0x1A6	0x411	0	0	0	0	0
0xB7	0x1	OFFCORE_RESPONSE_0.ANY_DATA.LOCAL_CACHE	Offcore data reads satisfied by the LLC	2	100000	0x1A6	0x711	0	0	0	0	0
0xB7	0x1	OFFCORE_RESPONSE_0.ANY_DATA.LOCAL_CACHE_DRAM	Offcore data reads satisfied by the LLC or local DRAM	2	100000	0x1A6	0x4711	0	0	0	0	0
