# Performance Monitoring Events for the Next+1 Generation Intel Core Processors Based on the Skylake Microarchitecture - V13
# 9/17/2015 11:13:39 AM
# Copyright (c) 2007 - 2014 Intel Corporation. All rights reserved.
MATRIX_REQUEST	MATRIX_RESPONSE	MATRIX_VALUE	MATRIX_REGISTER	DESCRIPTION
DEMAND_DATA_RD	Null	0x0001	0,1	Counts demand data reads
DEMAND_RFO	Null	0x0002	0,1	Counts all demand data writes (RFOs)
DEMAND_CODE_RD	Null	0x0004	0,1	Counts all demand code reads
PF_L3_DATA_RD	Null	0x0080	0,1	Counts all prefetch (that bring data to LLC only) data reads
PF_L3_RFO	Null	0x0100	0,1	Counts all prefetch (that bring data to LLC only) RFOs
STREAMING_STORES	Null	0x0800	0,1	Counts streaming stores
OTHER	Null	0x8000	0,1	Counts any other requests
Null	ANY_RESPONSE	0x000001	0,1	have any response type.
Null	SUPPLIER_NONE.SPL_HIT	0x004002	0,1	tbd
Null	SUPPLIER_NONE.SNOOP_NONE	0x008002	0,1	tbd
Null	SUPPLIER_NONE.SNOOP_NOT_NEEDED	0x010002	0,1	tbd
Null	SUPPLIER_NONE.SNOOP_MISS	0x020002	0,1	tbd
Null	SUPPLIER_NONE.SNOOP_HIT_NO_FWD	0x040002	0,1	tbd
Null	SUPPLIER_NONE.SNOOP_HITM	0x100002	0,1	tbd
Null	SUPPLIER_NONE.SNOOP_NON_DRAM	0x200002	0,1	tbd
Null	SUPPLIER_NONE.ANY_SNOOP	0x3fc002	0,1	tbd
Null	L3_HIT_M.SPL_HIT	0x004004	0,1	tbd
Null	L3_HIT_M.SNOOP_NONE	0x008004	0,1	tbd
Null	L3_HIT_M.SNOOP_NOT_NEEDED	0x010004	0,1	tbd
Null	L3_HIT_M.SNOOP_MISS	0x020004	0,1	tbd
Null	L3_HIT_M.SNOOP_HIT_NO_FWD	0x040004	0,1	tbd
Null	L3_HIT_M.SNOOP_HITM	0x100004	0,1	tbd
Null	L3_HIT_M.SNOOP_NON_DRAM	0x200004	0,1	tbd
Null	L3_HIT_M.ANY_SNOOP	0x3fc004	0,1	tbd
Null	L3_HIT_E.SPL_HIT	0x004008	0,1	tbd
Null	L3_HIT_E.SNOOP_NONE	0x008008	0,1	tbd
