# Performance Monitoring Events for the Next+1 Generation Intel Core Processors Based on the Skylake Microarchitecture - V13
# 9/17/2015 11:13:42 AM
# Copyright (c) 2007 - 2014 Intel Corporation. All rights reserved.
BitName	BitIndex	Type	MATRIX_REG	BitsNotCombinedWith
DEMAND_DATA_RD	0	1	0,1	Null
DEMAND_RFO	1	1	0,1	Null
DEMAND_CODE_RD	2	1	0,1	Null
PF_L3_DATA_RD	7	1	0,1	Null
PF_L3_RFO	8	1	0,1	Null
STREAMING_STORES	11	1	0,1	Null
OTHER	15	1	0,1	Null
ANY_RESPONSE	16	2	0,1	Null
SUPPLIER_NONE	17	3	0,1	Null
L3_HIT_M	18	3	0,1	Null
L3_HIT_E	19	3	0,1	Null
L3_HIT_S	20	3	0,1	Null
L3_HIT	18,19,20	3	0,1	Null
L4_HIT_LOCAL_L4	22	3	0,1	Null
L3_MISS_LOCAL_DRAM	26	3	0,1	Null
L3_MISS	26,27,28,29	3	0,1	Null
SPL_HIT	30	4	0,1	Null
SNOOP_NONE	31	4	0,1	Null
SNOOP_NOT_NEEDED	32	4	0,1	Null
SNOOP_MISS	33	4	0,1	Null
SNOOP_HIT_NO_FWD	34	4	0,1	Null
SNOOP_HIT_WITH_FWD	35	4	0,1	18,19,20,21
SNOOP_HITM	36	4	0,1	Null
SNOOP_NON_DRAM	37	4	0,1	Null
ANY_SNOOP	30,31,32,33,34,35,36,37	4	0,1	Null
