# Performance Monitoring Events for Intel Atom Processors Based on the Silvermont Microarchitecture - V10
# 7/7/2015 1:13:12 PM
# Copyright (c) 2007 - 2014 Intel Corporation. All rights reserved.
EventCode	UMask	EventName	BriefDescription	Counter	PEBScounters	SampleAfterValue	MSRIndex	MSRValue	CounterMask	Invert	AnyThread	EdgeDetect	PEBS	Errata
0xB7	0x01,0x02	OFFCORE_RESPONSE.ANY_CODE_RD.L2_MISS.ANY	Counts any code reads (demand & prefetch)  that miss L2	0,1	0	100007	0x1a6,0x1a7	0x1680000044	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.ANY_CODE_RD.L2_MISS.HITM_OTHER_CORE	Counts any code reads (demand & prefetch)  that hit in the other module where modified copies were found in other core's L1 cache	0,1	0	100007	0x1a6,0x1a7	0x1000000044	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.ANY_CODE_RD.L2_MISS.HIT_OTHER_CORE_NO_FWD	Counts any code reads (demand & prefetch)  that miss L2 and the snoops to sibling cores hit in either E/S state and the line is not forwarded	0,1	0	100007	0x1a6,0x1a7	0x0400000044	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.ANY_CODE_RD.L2_MISS.SNOOP_MISS	Counts any code reads (demand & prefetch)  that miss L2 with a snoop miss response	0,1	0	100007	0x1a6,0x1a7	0x0200000044	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.ANY_CODE_RD.ANY_RESPONSE	Counts any code reads (demand & prefetch)  that have any response type	0,1	0	100007	0x1a6,0x1a7	0x0000010044	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.ANY_RFO.L2_MISS.ANY	Counts any rfo reads (demand & prefetch)  that miss L2	0,1	0	100007	0x1a6,0x1a7	0x1680000022	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.ANY_RFO.L2_MISS.HITM_OTHER_CORE	Counts any rfo reads (demand & prefetch)  that hit in the other module where modified copies were found in other core's L1 cache	0,1	0	100007	0x1a6,0x1a7	0x1000000022	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.ANY_RFO.L2_MISS.HIT_OTHER_CORE_NO_FWD	Counts any rfo reads (demand & prefetch)  that miss L2 and the snoops to sibling cores hit in either E/S state and the line is not forwarded	0,1	0	100007	0x1a6,0x1a7	0x0400000022	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.ANY_RFO.L2_MISS.SNOOP_MISS	Counts any rfo reads (demand & prefetch)  that miss L2 with a snoop miss response	0,1	0	100007	0x1a6,0x1a7	0x0200000022	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.ANY_RFO.ANY_RESPONSE	Counts any rfo reads (demand & prefetch)  that have any response type	0,1	0	100007	0x1a6,0x1a7	0x0000010022	0	0	0	0	0	null
