Family-model,Version,Filename,EventType
GenuineIntel-6-2E,V2,/NHM-EX/NehalemEX_core_V2.json,core
GenuineIntel-6-1E,V2,/NHM-EP/NehalemEP_core_V2.json,core
GenuineIntel-6-1F,V2,/NHM-EP/NehalemEP_core_V2.json,core
GenuineIntel-6-1A,V2,/NHM-EP/NehalemEP_core_V2.json,core
GenuineIntel-6-2F,V2,/WSM-EX/WestmereEX_core_V2.json,core
GenuineIntel-6-25,V2,/WSM-EP-SP/WestmereEP-SP_core_V2.json,core
GenuineIntel-6-2C,V2,/WSM-EP-DP/WestmereEP-DP_core_V2.json,core
GenuineIntel-6-37,V13,/SLM/Silvermont_core_V13.json,core
GenuineIntel-6-37,V13,/SLM/Silvermont_matrix_V13.json,offcore
GenuineIntel-6-4D,V13,/SLM/Silvermont_core_V13.json,core
GenuineIntel-6-4D,V13,/SLM/Silvermont_matrix_V13.json,offcore
GenuineIntel-6-4C,V13,/SLM/Silvermont_core_V13.json,core
GenuineIntel-6-4C,V13,/SLM/Silvermont_matrix_V13.json,offcore
GenuineIntel-6-5C,V8,/GLM/Goldmont_core_V8.json,core
GenuineIntel-6-5C,V8,/GLM/Goldmont_matrix_V8.json,offcore
GenuineIntel-6-1C,V4,/BNL/Bonnell_core_V4.json,core
GenuineIntel-6-26,V4,/BNL/Bonnell_core_V4.json,core
GenuineIntel-6-27,V4,/BNL/Bonnell_core_V4.json,core
GenuineIntel-6-36,V4,/BNL/Bonnell_core_V4.json,core
GenuineIntel-6-35,V4,/BNL/Bonnell_core_V4.json,core
GenuineIntel-6-2A,V15,/SNB/SandyBridge_core_V15.json,core
GenuineIntel-6-2A,V15,/SNB/SandyBridge_matrix_V15.json,offcore
GenuineIntel-6-2A,V15,/SNB/SandyBridge_uncore_V15.json,uncore
GenuineIntel-6-2D,V20,/JKT/Jaketown_core_V20.json,core
GenuineIntel-6-2D,V20,/JKT/Jaketown_matrix_V20.json,offcore
GenuineIntel-6-2D,V20,/JKT/Jaketown_uncore_V20.json,uncore
GenuineIntel-6-3A,V18,/IVB/IvyBridge_core_V18.json,core
GenuineIntel-6-3A,V18,/IVB/IvyBridge_matrix_V18.json,offcore
GenuineIntel-6-3A,V18,/IVB/IvyBridge_uncore_V18.json,uncore
GenuineIntel-6-3E,V19,/IVT/IvyTown_core_V19.json,core
GenuineIntel-6-3E,V19,/IVT/IvyTown_matrix_V19.json,offcore
GenuineIntel-6-3E,V19,/IVT/IvyTown_uncore_V19.json,uncore
GenuineIntel-6-3C,V24,/HSW/Haswell_core_V24.json,core
GenuineIntel-6-45,V24,/HSW/Haswell_core_V24.json,core
GenuineIntel-6-46,V24,/HSW/Haswell_core_V24.json,core
GenuineIntel-6-3C,V24,/HSW/Haswell_matrix_V24.json,offcore
GenuineIntel-6-45,V24,/HSW/Haswell_matrix_V24.json,offcore
GenuineIntel-6-46,V24,/HSW/Haswell_matrix_V24.json,offcore
GenuineIntel-6-3C,V24,/HSW/Haswell_uncore_V24.json,uncore
GenuineIntel-6-45,V24,/HSW/Haswell_uncore_V24.json,uncore
GenuineIntel-6-46,V24,/HSW/Haswell_uncore_V24.json,uncore
GenuineIntel-6-3F,V17,/HSX/HaswellX_core_V17.json,core
GenuineIntel-6-3F,V17,/HSX/HaswellX_matrix_V17.json,offcore
GenuineIntel-6-3F,V17,/HSX/HaswellX_uncore_V17.json,uncore
GenuineIntel-6-3D,V17,/BDW/Broadwell_core_V17.json,core
GenuineIntel-6-3D,V17,/BDW/Broadwell_matrix_V17.json,offcore
GenuineIntel-6-3D,V17,/BDW/Broadwell_uncore_V17.json,uncore
GenuineIntel-6-3D,V17,/BDW/Broadwell_FP_ARITH_INST_V17.json,fp_arith_inst
GenuineIntel-6-47,V17,/BDW/Broadwell_core_V17.json,core
GenuineIntel-6-47,V17,/BDW/Broadwell_matrix_V17.json,offcore
GenuineIntel-6-47,V17,/BDW/Broadwell_uncore_V17.json,uncore
GenuineIntel-6-47,V17,/BDW/Broadwell_FP_ARITH_INST_V17.json,fp_arith_inst
GenuineIntel-6-4F,V10,/BDX/BroadwellX_core_V10.json,core
GenuineIntel-6-4F,V10,/BDX/BroadwellX_matrix_V10.json,offcore
GenuineIntel-6-4F,V10,/BDX/BroadwellX_uncore_V10.json,uncore
GenuineIntel-6-56,V5,/BDW-DE/BroadwellDE_core_V5.json,core
GenuineIntel-6-56,V5,/BDW-DE/BroadwellDE_uncore_V5.json,uncore
GenuineIntel-6-4E,V24,/SKL/Skylake_core_V24.json,core
GenuineIntel-6-5E,V24,/SKL/Skylake_core_V24.json,core
GenuineIntel-6-4E,V24,/SKL/Skylake_matrix_V24.json,offcore
GenuineIntel-6-5E,V24,/SKL/Skylake_matrix_V24.json,offcore
GenuineIntel-6-4E,V24,/SKL/Skylake_uncore_V24.json,uncore
GenuineIntel-6-5E,V24,/SKL/Skylake_uncore_V24.json,uncore
GenuineIntel-6-4E,V24,/SKL/Skylake_FP_ARITH_INST_V24.json,fp_arith_inst
GenuineIntel-6-5E,V24,/SKL/Skylake_FP_ARITH_INST_V24.json,fp_arith_inst
GenuineIntel-6-57,V8,/KNL/KnightsLanding_core_V8.json,core
GenuineIntel-6-57,V8,/KNL/KnightsLanding_matrix_V8.json,offcore
GenuineIntel-6-57,V8,/KNL/KnightsLanding_uncore_V8.json,uncore
